title,country,genre,director,year
"Борис Годунов (фильм, 1987)",СССР,музыкальный фильм,Борис Небиеридзе,1987
"Борис Годунов (фильм, 1907)",Российская империя,исторический,,1907
"Борис Годунов (фильм-опера, 1954)",СССР,музыкальная драма,Вера Строева,1954
Борис без Беатрис,Канада,драматический фильм,Дени Коте,[1]
"Борис Годунов (фильм, 2011)",Россия,драма,Владимир Мирзоев,2011
"Борис Годунов (фильм, 1986)",СССР,исторический фильм,Сергей Бондарчук,1986
"Борис Годунов (фильм-опера, 1989)",Франция,фильм-опера,Анджей Жулавский,1989
Бруна Сурфистинья (фильм),Бразилия,драма,,2011
Брӱно,США,комедия,Ларри Чарльз,2009
Бруклинские полицейские,США,боевик,Антуан Фукуа,2009
Брук. Легенда,,приключения,Даниэль Бенмайор,2010
Брошь (телеспектакль),СССР,драма,Ю. Кротенко,1988
Брубэйкер,США,драма,Стюарт Розенберг,1980
Бруклин (фильм),Ирландия,мелодрама,Джон Кроули,2015
Брошенный умирать,Канада,слэшер,Кристофер Харрисон,2007
"Бросок, или Всё началось в субботу",СССР,фантастика,Серик Райбаев,
"Брошенная (фильм, 1949)",США,Фильм нуар,Джозеф М. Ньюман,1949
"Бросок (фильм, 1981)",СССР,драма,Анвар Тураев,1981
Бронсон (фильм),Великобритания,криминальная,Николас Виндинг Рефн,2008
Бросив смертельный взгляд,США,фильм ужасов,Мартин Кэмпбелл,
Бросок кобры,США,боевик,Стивен Соммерс,2009
Бронксская повесть,США,драма,Роберт де Ниро,1993
